Artist ID,Name,Nationality,Gender,Birth Year,Death Year
143,James Anderson,British,Male,1813,1877
144,Jerry Anderson,American,Male,1938,
145,John Anderson,British,Male,1928,
146,Neil Anderson,American,Male,1933,
147,Paul L. Anderson,American,Male,1880,1956
148,Monika Andersson,Swedish,Female,1957,
149,Joe Andoe,American,Male,1955,
150,Farnese de Andrade-Neto,Brazilian,Male,1926,1996
151,Carl Andre,American,Male,1935,
152,Pat Andrea,Dutch,Male,1942,
153,A. Andreas,French,,,
154,Henning Andreasen,Danish,Male,1923,
155,Laura Andreson,American,Female,1902,1999
156,Mariano Andreù,Spanish,Male,1901,
157,Benny Andrews,American,Male,1930,2006
158,Emmy Andriesse,Dutch,Female,1914,1953
159,Claudia Andujar,American,Female,1931,
160,Manuel Angeles Ortiz,Spanish,Male,1895,1984
161,Ludwig Angerer,Austrian,Male,1827,1879
162,Bruce Angrave,British,Male,,
163,Raúl Anguiano,Mexican,Male,1915,2006
164,Sibyl Anikeef,American,Female,1896,1996
165,James Craig Annan,British,Male,1864,1946
166,Thomas Annan,British,Male,1829,1887
167,David Annesley,British,Male,1936,
168,Horst Antes,German,Male,1936,
169,William Anthony,American,Male,1934,
170,Stephen Antonakos,American,Male,1926,2013
171,Garo Antreasian,American,Male,1922,
172,Nemesio Antúnez,Chilean,Male,1918,1993
173,Richard Anuszkiewicz,American,Male,1930,
174,Aoki Toshio,,,,
175,Carl Apfelschnitt,American,Male,1948,
176,Karel Appel,Dutch,Male,1921,2006
177,Leon Appelbaum,American,Male,,
178,Ida Applebroog,American,Female,1929,
179,Shusaku Arakawa,American,Male,1936,2010
180,Diane Arbus,American,Female,1923,1971
181,Aleksandr Archipenko,American,Male,1887,1964
182,Mordecai Ardon,Israeli,Male,1896,1992
183,Luis Arenal,Mexican,Male,1909,1985
184,Egmont Arens,American,Male,1888,1966
185,Tamotsu Arikawa,Japanese,Male,,
186,Avigdor Arikha,Romanian,Male,1929,2010
187,Gonzalo Ariza,Colombian,Male,1912,1995
188,Alda Maria Armagni,Argentine,Female,,
189,Siah Armajani,American,Male,1939,
190,Arman,American,Male,1928,2005
191,Armando,Dutch,Male,1929,
192,F. Armbruster,Nationality unknown,,,
193,Kenneth Armitage,British,Male,1916,2002
194,John Taylor Arms,American,Male,1887,1953
195,John Armstrong,British,Male,1893,1973
196,François Arnal,French,Male,1924,2012
197,Arndt,German,,1898,1976
198,Eugène Atget,French,Male,1857,1927
199,John Atherton,American,Male,1900,1952
200,Anna Atkins,British,Female,1797,1871
201,Conrad Atkinson,British,Male,1940,
202,Lawrence Atkinson,British,Male,1873,1931
203,Terry Atkinson,British,Male,1939,
204,Jean-Michel Atlan,French,Male,1913,1960
205,Dotty Attie,American,Female,1938,
206,Carl Auböck,Austrian,Male,1924,1993
207,Charles Aubry,French,Male,1811,1877
208,Frank Auerbach,British,Male,1931,
209,Gae Aulenti,Italian,Female,1930,2012
210,Keith James Aulik,Nationality unknown,Male,,
211,George Ault,American,Male,1891,1948
212,Darrel Austin,American,Male,1907,1994
213,Irving Austin,American,Male,,
214,Mario Avati,Italian,Male,1921,2009
215,Edward Avedisian,American,Male,1936,2007
216,Richard Avedon,American,Male,1923,2004
217,Frances Avery,American,Female,1910,2006
218,Milton Avery,American,Male,1885,1965
219,David Avison,American,Male,,
220,Mordechai Avniel,Israeli,Male,,
221,Kiyoshi Awazu,Japanese,Male,1929,2009
222,Ay-O,Japanese,Male,1931,
223,Alice Aycock,American,Female,1946,
224,Pierre Ayot,Canadian,Male,1943,1995
225,Michael Ayrton,British,Male,1921,1975
226,Luis Cruz Azaceta,American,Male,1942,
227,Umetaro Azechi,Japanese,Male,1902,1999
228,Kengiro Azuma,Japanese,Male,1926,
229,Johannes Baader,German,Male,1875,1955
230,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892,1927
231,Kurt W. Baasch,American,Male,1891,1964
232,Alice Baber,American,Female,1928,1982
233,Bacard Fils,French,Male,,
234,Edmondo Bacci,Italian,Male,1913,1978
235,Elvira Bach,German,Female,1951,
236,Olof Backman,Swedish,Male,1899,
237,Olof Backstrom,Finnish,Male,1922,
238,Francis Bacon,British,Male,1909,1992
239,Peggy Bacon,American,Female,1895,1987
240,Karl Baden,American,Male,1952,
241,Mowry Thatcher Baden,American,Male,1936,
242,Aquiles Badi,Argentine,Male,1894,1976
243,Libero Badii,Argentine,Male,1916,2001
244,Frank Badur,German,Male,1944,
245,Donald Baechler,American,Male,1956,
246,Jo Baer,American,Female,1929,
247,Martin Baer,American,Male,1894,1961
248,Olle Baertling,Swedish,Male,1911,1981
249,Myrna Báez,American,Female,1931,
250,John Bageris,American,Male,1924,2000
251,Heinz Bahr,German,Male,1934,
252,Malcolm Bailey,American,Male,1947,2011
253,Oscar Bailey,American,Male,1925,
254,William Bailey,American,Male,1930,
255,Larry Bair,American,Male,1952,1990
256,Eugenie Baizerman,American,Female,1899,1949
257,Enrico Baj,Italian,Male,1924,2003
258,E. Bakalowitz Söhne,Austrian,,1845,
259,Carl Baker,American,Male,,
260,Mikal Baker,American,Male,1946,
261,Vagrich Bakhchanyan,Russian,Male,1938,2009
262,Gerhard H. Bakker,American,Male,,
263,Léon Bakst,Russian,Male,1866,1924
264,Gerard Baksteen,Dutch,Male,1887,1976
265,Amèrico Balán,Argentine,Male,1915,1986
266,Jirí Balcar,Czech,Male,1929,1968
267,John Baldessari,American,Male,1931,
268,George Baldessin,Australian,Male,1939,1978
269,C. Leroy Baldridge,American,Male,1889,1975
270,Édouard-Denis Baldus,French,Male,1813,1882
271,Benjamin Baldwin,American,Male,1913,1993
272,Joost Baljeu,Dutch,Male,1925,1991
273,Giacomo Balla,Italian,Male,1871,1958
274,R. Maxil Ballinger,American,Male,1914,1958
275,Theo H. Ballmer,Swiss,Male,1902,1965
276,Alexander Bally,American,Male,1938,
277,John F. Balossi,American,Male,1931,2007
278,Balthus (Baltusz Klossowski de Rola),French,Male,1908,2001
279,Lewis Baltz,American,Male,1945,2014
280,Thomas Bamberger,American,Male,1948,
281,McDonald (Mackey Jeffries) Bane,American,Female,1928,
282,Colette Bangert,American,Female,1934,
283,Walter Darby Bannard,American,Male,1934,2016
284,John Banting,British,Male,1902,1972
285,Rudolf Baranik,American,Male,1920,1998
286,Vladimir Baranoff-Rossiné,Ukrainian,Male,1888,1944
287,Anthony Barboza,American,Male,1944,
288,Miquel Barcelo,Spanish,Male,1957,
289,Peter Bardazzi,American,Male,1943,
290,J. Baric,French,Male,1825,1905
291,Richard Baringer,American,Male,1921,1980
292,George Barker,Australian,Male,1942,
293,Walter William Barker,American,Male,1921,2004
294,Ernst Barlach,German,Male,1870,1938
295,George Barnard,American,Male,1819,1902
296,Cyril H. Barnes,American,Male,,
297,Matthew Rackham Barnes,American,Male,1880,1951
298,Robert Barnes,American,Male,1934,
299,Will Barnet,American,Male,1911,2012
300,Tina Barney,American,Female,1945,
301,Hannelore Baron,American,Female,1926,1987
302,Martin Barooshian,American,Male,1929,
303,Steve Barraclough,British,Male,,
304,Maurice Barraud,Swiss,Male,1889,1955
305,Susan Barron,American,Female,1947,
306,Thomas F. Barrow,American,Male,1938,
307,D. F. Barry,American,Male,1854,1934
308,Robert Barry,American,Male,1936,
309,Robert Bart,American,Male,1923,
310,Frances Barth,American,Female,1946,
311,Ruodi Barth,Swiss,Male,1921,1999
